NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062069559,2024,1,F,1,1,1,3,0,,1,4316907,Santa Maria,43,RS,E,E,B,C,2,A,E,A,B,C,B,C,B,A,B,A,A,B,A,B,A,C,E
210062069560,2024,7,M,1,3,1,1,2,,0,3304557,Rio de Janeiro,33,RJ,H,F,C,D,4,A,C,A,B,C,A,A,B,B,B,A,A,B,A,B,C,D,A
210062069561,2024,2,M,1,1,1,3,0,,1,3118601,Contagem,31,MG,F,C,E,E,4,B,O,A,C,D,C,A,B,A,B,B,B,D,B,B,C,E,A
210062069562,2024,15,M,0,3,1,1,18,,0,3550308,São Paulo,35,SP,C,B,C,C,4,B,D,A,B,C,B,A,B,A,B,A,B,B,A,B,B,B,A
210062069563,2024,5,F,1,3,3,1,3,,0,3550308,São Paulo,35,SP,H,H,B,C,5,A,D,A,B,C,A,A,B,A,A,A,A,A,A,B,B,C,A
210062069564,2024,5,M,1,1,1,1,3,,0,3525904,Jundiaí,35,SP,E,E,D,F,5,A,G,A,C,D,B,A,B,A,B,B,B,C,B,B,C,E,D
210062069565,2024,1,M,1,1,1,3,0,,1,3304557,Rio de Janeiro,33,RJ,F,E,B,B,4,A,B,A,B,C,B,A,B,A,B,B,A,B,B,B,A,D,E
210062069566,2024,1,F,1,3,1,3,0,,1,4115200,Maringá,41,PR,F,F,D,E,2,A,H,A,C,C,B,A,B,B,B,B,A,B,A,B,B,C,D
210062069567,2024,11,M,1,2,1,1,9,,0,2211001,Teresina,22,PI,D,G,B,D,9,A,E,A,C,D,B,D,B,B,B,A,A,D,A,B,C,E,D
210062069568,2024,15,F,2,2,1,1,18,,0,3303500,Nova Iguaçu,33,RJ,B,C,A,A,5,B,F,A,C,C,B,A,C,A,B,B,A,D,B,B,B,E,A
210062069569,2024,4,F,1,1,1,1,1,,0,3520509,Indaiatuba,35,SP,F,F,C,D,5,B,M,A,D,D,D,A,B,A,B,B,B,A,A,B,E,E,E
210062069570,2024,12,M,1,1,1,1,14,,0,5003702,Dourados,50,MS,C,C,A,B,1,A,A,A,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A
210062069571,2024,2,F,1,1,1,3,0,,1,5300108,Brasília,53,DF,C,E,A,B,9,A,E,A,B,C,A,A,B,A,A,B,A,B,A,B,B,B,A
210062069572,2024,3,M,1,3,1,2,0,1.0,0,2910727,Eunápolis,29,BA,B,B,A,A,3,A,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,B,A
210062069573,2024,11,F,2,3,1,1,11,,0,2600708,Aliança,26,PE,B,E,D,B,3,A,B,A,B,D,A,A,B,A,B,A,A,B,A,B,B,C,A
210062069574,2024,3,F,1,3,1,2,0,1.0,0,1303908,São Paulo de Olivença,13,AM,H,H,A,A,10,A,C,A,B,D,A,B,B,B,B,A,A,B,A,A,A,D,A
210062069575,2024,4,M,0,3,1,2,0,1.0,0,4301602,Bagé,43,RS,B,E,A,F,2,A,A,A,B,C,A,A,B,A,B,B,A,B,A,B,B,C,B
210062069576,2024,3,F,1,2,1,2,0,1.0,0,5108402,Várzea Grande,51,MT,D,D,F,B,5,B,C,A,B,C,A,A,B,A,B,A,A,B,A,A,A,D,A
210062069577,2024,3,F,1,2,1,2,0,1.0,0,3543907,Rio Claro,35,SP,B,B,C,B,4,A,C,A,B,C,A,B,B,A,B,A,A,B,A,B,A,D,A
210062069578,2024,12,F,1,1,3,1,17,,0,4106902,Curitiba,41,PR,G,D,E,F,1,A,P,A,C,C,B,B,B,A,B,A,A,B,A,B,B,C,B
210062069579,2024,5,F,1,3,1,1,0,,0,4303004,Cachoeira do Sul,43,RS,F,E,F,B,4,A,C,A,B,C,A,A,B,B,B,A,A,B,A,B,A,D,A
210062069580,2024,4,M,1,1,1,2,0,,0,4314902,Porto Alegre,43,RS,E,D,B,B,3,B,F,A,B,C,B,A,B,B,B,B,B,D,B,B,C,D,A
